customer_id,name,email,phone,loyalty_program_id,created_at
1,Customer 1,cust1@example.com,1234567891,3,2021-04-28
2,Customer 2,cust2@example.com,1234567892,5,2021-07-01
3,Customer 3,cust3@example.com,1234567893,3,2023-01-23
4,Customer 4,cust4@example.com,1234567894,1,2022-05-28
5,Customer 5,cust5@example.com,1234567895,5,2098-01-21
6,Customer 6,cust6@example.com,1234567896,1,2023-05-08
7,Customer 7,cust7@example.com,1234567897,4,2020-05-20
8,Customer 8,cust8@example.com,1234567898,4,2023-09-01
9,Customer 9,cust9@example.com,1234567899,5,2065-05-21
10,Customer 10,cust10@example.com,1234567890,3,2020-02-29
11,Customer 11,cust11@example.com,1234567891,4,2021-04-08
12,Customer 12,cust12@example.com,1234567892,1,2020-08-17
13,Customer 13,cust13@example.com,1234567893,5,2022-02-28
14,Customer 14,cust14@example.com,1234567894,4,2021-12-18
15,Customer 15,cust15@example.com,1234567895,4,2020-09-19
16,Customer 16,cust16@example.com,1234567896,1,2020-05-31
17,Customer 17,cust17@example.com,1234567897,5,2023-11-15
18,Customer 18,cust18@example.com,1234567898,4,2020-11-28
19,Customer 19,cust19@example.com,1234567899,1,2023-09-05
20,Customer 20,cust20@example.com,1234567890,4,2022-07-25
21,Customer 21,cust21@example.com,1234567891,4,2021-09-15
22,Customer 22,cust22@example.com,1234567892,3,2022-07-25
23,Customer 23,cust23@example.com,1234567893,5,2020-07-11
24,Customer 24,cust24@example.com,1234567894,5,2021-03-28
25,Customer 25,cust25@example.com,1234567895,1,2073-09-25
26,Customer 26,cust26@example.com,1234567896,1,2023-06-19
27,Customer 27,cust27@example.com,1234567897,3,2021-04-15
28,Customer 28,cust28@example.com,1234567898,5,2020-06-24
29,Customer 29,cust29@example.com,1234567899,2,2021-03-09
30,Customer 30,cust30@example.com,1234567890,3,2022-06-06
31,Customer 31,cust31@example.com,1234567891,1,2020-08-22
32,Customer 32,cust32@example.com,1234567892,3,2021-07-05
33,Customer 33,cust33@example.com,1234567893,2,2022-03-31
34,Customer 34,cust34@example.com,1234567894,4,2021-01-02
35,Customer 35,cust35@example.com,1234567895,4,2023-05-14
